Text
how much more time you gonna take ?
30mins . exam just hua
cool . tell me the name of the hostel
bro mumbai central aaja
last time you had the three hundred one right
three hundred ka one ?
no you said that rn you have the two hundred stash . is that the only one you have ?
yeahh
alright then . four booms of that . i'll be there by 6:10ish
cool
bro get six
okay
